date,1. open,2. high,3. low,4. close,5. volume
2020-03-09 15:50:00,273.4606,273.7,272.79,272.9,158175.0
2020-03-09 15:51:00,272.75,272.82,271.05,271.26,307752.0
2020-03-09 15:52:00,271.39,272.64,271.21,272.38,256388.0
2020-03-09 15:53:00,272.28,273.08,272.04,272.77,202984.0
2020-03-09 15:54:00,272.8078,273.03,271.71,271.77,223559.0
2020-03-09 15:55:00,271.85,272.97,271.36,272.36,327427.0
2020-03-09 15:56:00,272.099,272.099,271.21,271.3,306596.0
2020-03-09 15:57:00,271.25,271.25,269.83,269.83,371414.0
2020-03-09 15:58:00,269.87,269.9,267.99,268.02,444647.0
2020-03-09 15:59:00,268.0,268.63,265.87,267.46,442708.0
2020-03-09 16:00:00,267.43,267.87,266.0,266.09,884254.0
2020-03-10 09:31:00,277.14,278.8,276.36,278.06,2184365.0
2020-03-10 09:32:00,278.05,278.47,277.04,277.38,308322.0
2020-03-10 09:33:00,277.31,277.96,277.0,277.76,298364.0
2020-03-10 09:34:00,277.7382,279.0,277.5399,278.435,331840.0
2020-03-10 09:35:00,278.9609,278.9609,278.9609,278.9609,285798.0
2020-03-10 09:36:00,278.95,278.95,277.249,277.249,254695.0
2020-03-10 09:37:00,277.39,277.39,275.64,275.64,294615.0
2020-03-10 09:38:00,275.75,275.99,275.6936,275.6936,214570.0
2020-03-10 09:39:00,275.61,275.645,275.45,275.645,190782.0
2020-03-10 09:40:00,275.5601,275.8103,275.5601,275.8103,214349.0
2020-03-10 09:41:00,275.72,275.72,275.1291,275.31,299167.0
2020-03-10 09:42:00,275.285,276.39,275.285,276.39,209591.0
2020-03-10 09:43:00,276.46,276.47,276.46,276.47,240397.0
2020-03-10 09:44:00,276.39,277.1597,276.33,277.1597,193748.0
2020-03-10 09:45:00,277.1922,277.3079,277.1922,277.2823,192145.0
2020-03-10 09:46:00,276.91,277.2005,276.91,277.2005,206793.0
2020-03-10 09:47:00,277.32,277.81,277.15,277.15,211842.0
2020-03-10 09:48:00,277.12,277.12,276.39,276.39,152948.0
2020-03-10 09:49:00,276.27,276.27,276.02,276.02,146379.0
